date,time,frequency,stock,ma,price,description
20190104,15:02:03,D,000678,5.174000000000001,5.18,cross above
20190104,15:02:03,D,000688,11.519916666666667,11.52,cross above
20190104,15:02:03,D,000069,6.124833333333332,6.13,cross above
20190104,15:02:03,D,000159,4.113750000000002,4.12,cross above
20190104,15:02:03,D,000625,6.881916666666666,6.89,cross above
20190104,15:02:03,D,002319,15.371583333333332,15.47,cross above
20190104,15:02:03,D,300081,9.235166666666666,9.26,cross above
20190104,15:02:03,D,300019,6.156000000000001,6.17,cross above
20190104,15:02:03,D,300334,7.451000000000003,7.46,cross above
20190104,15:02:03,D,300044,6.461,6.48,cross above
20190104,15:00:00,D,600462,3.252916666666666,3.26,cross above
20190104,15:00:00,D,600070,6.516083333333333,6.55,cross above
20190104,15:02:03,D,300589,11.987583333333328,12.03,cross above
20190104,15:02:03,D,300495,13.161666666666669,13.19,cross above
20190104,15:00:00,D,600737,7.2978333333333305,7.32,cross above
20190104,15:00:00,D,600742,10.16366666666666,10.17,cross above
20190104,15:00:00,D,600647,12.426250000000003,12.46,cross above
20190104,15:02:03,D,300515,9.041249999999998,9.08,cross above
20190104,15:00:00,D,601801,6.99975,7.0,cross above
20190104,15:00:00,D,600885,22.245000000000005,22.29,cross above
20190104,15:00:00,D,601222,4.719666666666667,4.72,cross above
20190104,15:00:00,D,603789,12.47733333333334,12.52,cross above
